id,coin_name,symbol,current_price,market_cap,fetched_at
201,Bitcoin,btc,76601.0,1534993087913,2026-05-26 14:45:37.117883
202,Ethereum,eth,2093.59,252687924871,2026-05-26 14:45:37.117883
203,Tether,usdt,1.0,189409979997,2026-05-26 14:45:37.117883
204,BNB,bnb,656.48,88420074605,2026-05-26 14:45:37.117883
205,XRP,xrp,1.34,82800253041,2026-05-26 14:45:37.117883
206,USDC,usdc,1.0,76263917780,2026-05-26 14:45:37.117883
207,Solana,sol,84.34,48754506096,2026-05-26 14:45:37.117883
208,TRON,trx,0.37,35507701346,2026-05-26 14:45:37.117883
209,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:45:37.117883
210,Dogecoin,doge,0.1,15616383191,2026-05-26 14:45:37.117883
211,Bitcoin,btc,76704.0,1536503631496,2026-05-26 14:50:37.748472
212,Ethereum,eth,2096.13,252936065544,2026-05-26 14:50:37.748472
213,Tether,usdt,1.0,189406059242,2026-05-26 14:50:37.748472
214,BNB,bnb,656.87,88516270631,2026-05-26 14:50:37.748472
215,XRP,xrp,1.34,82942238150,2026-05-26 14:50:37.748472
216,USDC,usdc,1.0,76263533983,2026-05-26 14:50:37.748472
217,Solana,sol,84.48,48763792191,2026-05-26 14:50:37.748472
218,TRON,trx,0.37,35449982119,2026-05-26 14:50:37.748472
219,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:50:37.748472
220,Dogecoin,doge,0.1,15629469904,2026-05-26 14:50:37.748472
221,Bitcoin,btc,76611.0,1534967473019,2026-05-26 14:55:37.677839
222,Ethereum,eth,2093.63,252676819478,2026-05-26 14:55:37.677839
223,Tether,usdt,1.0,189408894241,2026-05-26 14:55:37.677839
224,BNB,bnb,655.91,88417793152,2026-05-26 14:55:37.677839
225,XRP,xrp,1.34,82891747848,2026-05-26 14:55:37.677839
226,USDC,usdc,1.0,76268380836,2026-05-26 14:55:37.677839
227,Solana,sol,84.42,48850053826,2026-05-26 14:55:37.677839
228,TRON,trx,0.37,35483350318,2026-05-26 14:55:37.677839
229,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 14:55:37.677839
230,Dogecoin,doge,0.1,15624046782,2026-05-26 14:55:37.677839
231,Bitcoin,btc,76641.0,1535065890158,2026-05-26 15:00:37.608490
232,Ethereum,eth,2095.38,252736636729,2026-05-26 15:00:37.608490
233,Tether,usdt,1.0,189404591010,2026-05-26 15:00:37.608490
234,BNB,bnb,656.44,88433584204,2026-05-26 15:00:37.608490
235,XRP,xrp,1.34,82875388639,2026-05-26 15:00:37.608490
236,USDC,usdc,1.0,76261772740,2026-05-26 15:00:37.608490
237,Solana,sol,84.47,48798667595,2026-05-26 15:00:37.608490
238,TRON,trx,0.37,35480802595,2026-05-26 15:00:37.608490
239,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 15:00:37.608490
240,Dogecoin,doge,0.1,15620035391,2026-05-26 15:00:37.608490
241,Bitcoin,btc,76636.0,1535954725491,2026-05-26 15:05:37.207344
242,Ethereum,eth,2094.65,252911325027,2026-05-26 15:05:37.207344
243,Tether,usdt,1.0,189401073787,2026-05-26 15:05:37.207344
244,BNB,bnb,656.41,88499975441,2026-05-26 15:05:37.207344
245,XRP,xrp,1.34,82960244560,2026-05-26 15:05:37.207344
246,USDC,usdc,1.0,76285800666,2026-05-26 15:05:37.207344
247,Solana,sol,84.48,48850135054,2026-05-26 15:05:37.207344
248,TRON,trx,0.37,35468516072,2026-05-26 15:05:37.207344
249,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 15:05:37.207344
250,Dogecoin,doge,0.1,15632660735,2026-05-26 15:05:37.207344
251,Bitcoin,btc,76610.0,1535170948806,2026-05-26 15:10:37.604490
252,Ethereum,eth,2094.17,252762531023,2026-05-26 15:10:37.604490
253,Tether,usdt,1.0,189406734298,2026-05-26 15:10:37.604490
254,BNB,bnb,656.21,88462344665,2026-05-26 15:10:37.604490
255,XRP,xrp,1.34,82918791872,2026-05-26 15:10:37.604490
256,USDC,usdc,1.0,76287173792,2026-05-26 15:10:37.604490
257,Solana,sol,84.45,48835313102,2026-05-26 15:10:37.604490
258,TRON,trx,0.37,35465766163,2026-05-26 15:10:37.604490
259,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 15:10:37.604490
260,Dogecoin,doge,0.1,15617666264,2026-05-26 15:10:37.604490
261,Bitcoin,btc,76611.0,1534814114970,2026-05-26 15:15:37.192869
262,Ethereum,eth,2094.42,252755126376,2026-05-26 15:15:37.192869
263,Tether,usdt,1.0,189407036525,2026-05-26 15:15:37.192869
264,BNB,bnb,656.29,88454690495,2026-05-26 15:15:37.192869
265,XRP,xrp,1.34,82928983507,2026-05-26 15:15:37.192869
266,USDC,usdc,1.0,76286296214,2026-05-26 15:15:37.192869
267,Solana,sol,84.4,48797919219,2026-05-26 15:15:37.192869
268,TRON,trx,0.37,35469750981,2026-05-26 15:15:37.192869
269,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 15:15:37.192869
270,Dogecoin,doge,0.1,15601255105,2026-05-26 15:15:37.192869
271,Bitcoin,btc,76567.0,1534522017811,2026-05-26 15:20:37.187942
272,Ethereum,eth,2093.21,252741106515,2026-05-26 15:20:37.187942
273,Tether,usdt,1.0,189408088920,2026-05-26 15:20:37.187942
274,BNB,bnb,655.94,88452309921,2026-05-26 15:20:37.187942
275,XRP,xrp,1.34,82895846978,2026-05-26 15:20:37.187942
276,USDC,usdc,1.0,76288478994,2026-05-26 15:20:37.187942
277,Solana,sol,84.32,48809471235,2026-05-26 15:20:37.187942
278,TRON,trx,0.37,35443785346,2026-05-26 15:20:37.187942
279,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 15:20:37.187942
280,Dogecoin,doge,0.1,15600725438,2026-05-26 15:20:37.187942
281,Bitcoin,btc,76570.0,1534132640021,2026-05-26 15:25:37.107473
282,Ethereum,eth,2093.67,252684066179,2026-05-26 15:25:37.107473
283,Tether,usdt,1.0,189404300461,2026-05-26 15:25:37.107473
284,BNB,bnb,656.08,88427139583,2026-05-26 15:25:37.107473
285,XRP,xrp,1.34,82895599258,2026-05-26 15:25:37.107473
286,USDC,usdc,1.0,76288572690,2026-05-26 15:25:37.107473
287,Solana,sol,84.34,48748153354,2026-05-26 15:25:37.107473
288,TRON,trx,0.37,35376702753,2026-05-26 15:25:37.107473
289,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 15:25:37.107473
290,Dogecoin,doge,0.1,15597460600,2026-05-26 15:25:37.107473
291,Bitcoin,btc,76592.0,1533330814233,2026-05-26 15:44:46.637201
292,Ethereum,eth,2096.66,252664310571,2026-05-26 15:44:46.637201
293,Tether,usdt,1.0,189392267174,2026-05-26 15:44:46.637201
294,BNB,bnb,656.89,88457250240,2026-05-26 15:44:46.637201
295,XRP,xrp,1.34,82863730048,2026-05-26 15:44:46.637201
296,USDC,usdc,1.0,76284911278,2026-05-26 15:44:46.637201
297,Solana,sol,84.48,48751244824,2026-05-26 15:44:46.637201
298,TRON,trx,0.37,35313309283,2026-05-26 15:44:46.637201
299,Figure Heloc,figr_heloc,1.03,18619225593,2026-05-26 15:44:46.637201
300,Dogecoin,doge,0.1,15586556503,2026-05-26 15:44:46.637201
